attendance,study_hours,assignments,gpa,participation,risk_level
78,5,31,6.59,5,0
98,0,97,9.09,6,0
59,3,57,4.97,10,1
74,4,48,7.8,9,0
82,6,33,8.67,7,0
69,6,30,6.79,9,0
61,2,57,9.01,3,1
70,1,57,5.18,2,1
78,1,63,9.82,8,0
42,0,46,4.42,10,1
88,2,60,5.5,8,0
99,0,55,8.04,3,0
71,4,99,5.98,7,0
59,4,65,6.01,2,1
87,5,70,7.58,10,0
62,4,43,8.4,10,1
97,0,70,5.55,5,0
40,0,53,4.59,8,1
69,5,45,5.75,2,0
84,3,34,6.47,7,0
73,0,55,9.83,3,1
91,4,95,6.67,8,0
79,0,81,4.33,5,0
70,0,56,6.08,4,1
70,6,40,5.91,5,0
90,2,58,7.97,5,0
82,5,53,7.15,9,0
75,0,44,7.29,3,1
98,3,53,5.65,10,0
48,4,37,9.47,5,1
82,3,60,4.47,5,0
86,1,50,4.04,8,1
45,6,96,6.99,9,0
73,3,41,5.75,3,1
43,3,65,5.87,9,1
95,2,66,6.66,8,0
44,5,71,5.35,8,1
54,4,69,7.69,9,0
46,3,50,4.2,8,1
82,4,46,5.77,9,0
88,6,32,9.89,9,0
99,2,66,4.27,10,0
42,6,43,8.15,3,1
59,5,67,4.86,5,0
64,2,68,8.64,2,0
41,1,55,8.46,2,1
86,2,65,7.18,4,0
75,2,90,8.49,2,0
79,4,31,8.35,1,0
81,2,69,4.37,7,0
75,5,83,5.75,2,0
40,4,81,8.95,9,1
80,1,71,6.71,8,0
43,4,40,9.39,4,1
87,5,30,7.25,3,0
74,4,57,7.13,9,0
81,0,46,5.42,3,1
68,5,87,9.64,4,0
51,4,75,8.45,7,0
95,2,77,7.32,7,0
79,2,86,5.32,7,0
45,0,32,7.22,7,1
74,3,83,6.47,1,0
89,4,55,6.14,7,0
62,5,31,8.52,9,1
89,1,89,4.09,3,0
79,5,58,6.22,9,0
62,3,72,8.89,6,0
54,0,86,5.14,7,1
95,0,40,6.85,5,0
52,0,88,6.7,3,1
94,5,95,4.14,3,0
44,5,52,8.7,2,1
47,1,48,4.56,6,1
87,3,60,5.8,1,0
98,1,83,4.15,1,0
90,4,65,7.03,9,0
76,0,41,9.26,9,1
84,1,87,4.43,5,0
56,1,96,6.13,3,1
85,4,91,7.55,6,0
86,6,80,5.58,5,0
97,4,44,7.82,3,0
57,6,76,7.86,2,0
80,5,82,5.53,5,0
83,4,45,6.48,2,0
72,5,45,7.46,9,0
56,2,62,6.82,2,1
61,3,97,8.86,10,0
81,1,73,8.61,9,0
91,1,77,6.61,9,0
90,3,34,5.71,4,0
90,4,72,8.38,6,0
57,0,46,8.18,5,1
96,6,33,8.63,10,0
49,0,34,8.57,9,1
99,5,97,8.85,3,0
68,3,88,7.18,8,0
50,6,82,8.43,4,0
45,3,30,4.57,5,1
60,6,46,6.36,5,0
53,1,84,8.88,1,1
71,4,97,6.3,5,0
100,3,93,7.36,8,0
61,3,62,6.97,2,1
64,2,44,6.82,9,1
60,5,36,6.52,3,1
58,6,52,9.52,7,0
73,6,52,6.59,6,0
62,2,93,8.93,2,0
89,5,47,4.84,5,0
60,0,94,5.03,8,1
81,6,60,4.19,10,0
52,0,88,7.09,2,1
67,0,66,8.53,8,1
55,4,86,5.32,2,0
64,4,67,6.74,9,0
52,2,31,5.81,9,1
68,4,96,6.57,9,0
65,5,74,8.32,2,0
66,4,52,4.22,8,1
79,4,99,7.06,5,0
98,5,54,6.67,5,0
54,1,40,9.21,7,1
97,6,69,5.46,10,0
48,1,39,7.74,3,1
54,4,92,4.12,8,0
81,3,90,6.53,9,0
98,4,51,6.23,2,0
98,6,70,7.59,8,0
64,0,33,8.3,5,1
79,3,62,8.71,8,0
49,0,66,7.91,6,1
95,4,74,4.54,9,0
57,0,81,8.18,9,1
94,2,50,4.87,9,0
57,1,36,7.31,7,1
64,4,72,6.58,9,0
66,1,94,5.21,8,0
95,4,56,5.95,8,0
66,6,85,9.13,10,0
62,0,93,6.77,9,1
98,0,74,6.89,6,0
50,2,65,4.09,3,1
46,1,30,5.77,3,1
88,0,90,7.63,10,0
45,0,98,4.39,4,1
71,6,55,8.21,9,0
51,5,85,9.22,9,0
50,5,42,4.22,2,1
76,5,75,8.63,2,0
49,2,70,6.83,6,1
90,6,68,8.03,1,0
42,0,87,8.24,4,1
99,1,56,6.05,1,0
89,0,44,9.97,2,0
97,2,73,5.09,3,0
48,2,96,4.83,9,1
98,5,91,9.86,7,0
51,2,72,8.63,2,1
53,2,62,9.74,8,1
89,0,82,8.64,1,0
92,5,88,9.47,6,0
86,3,50,8.61,9,0
74,2,63,4.03,7,1
84,2,94,4.01,4,0
100,1,49,7.98,6,0
88,0,61,6.59,8,0
50,3,96,8.05,9,0
92,1,69,7.99,7,0
95,3,73,5.69,5,0
87,6,63,4.54,8,0
49,6,57,4.38,5,1
48,6,36,9.76,10,1
83,3,57,6.53,6,0
96,4,73,6.65,9,0
62,5,96,6.31,5,0
86,3,73,7.51,8,0
83,1,34,9.64,2,0
49,1,72,7.28,3,1
81,3,53,6.43,4,0
100,6,64,8.56,7,0
77,4,94,8.75,5,0
79,2,35,4.24,7,1
58,4,96,5.45,5,0
55,4,87,8.99,8,0
59,1,64,9.21,1,1
70,5,33,6.35,5,0
98,2,57,8.51,5,0
55,1,43,9.29,7,1
57,6,59,9.53,2,0
94,5,76,5.95,4,0
76,0,90,5.16,4,0
40,4,75,5.55,9,1
57,1,95,4.66,5,1
97,0,83,6.44,5,0
95,2,64,9.8,2,0
91,2,74,6.35,3,0
99,0,38,5.54,1,0
55,1,70,9.08,7,1
95,4,60,6.3,9,0
56,5,97,8.86,2,0
77,1,83,8.27,4,0
70,1,33,6.6,6,1
57,1,65,6.04,5,1
60,2,40,5.42,1,1
72,5,55,8.26,3,0
75,6,35,6.74,9,0
46,2,76,9.03,7,1
64,3,89,7.4,3,0
66,6,49,9.98,5,0
90,5,49,7.31,4,0
62,5,35,6.42,10,1
43,1,39,8.6,8,1
40,5,98,5.66,7,0
74,6,90,5.9,5,0
87,5,34,4.93,9,0
98,3,98,5.66,10,0
93,6,86,8.87,9,0
55,5,98,7.33,5,0
57,2,35,4.39,7,1
83,1,100,8.73,1,0
93,4,47,4.47,3,0
84,4,66,4.53,5,0
95,3,73,6.47,2,0
52,3,100,8.02,2,0
45,2,44,5.59,4,1
45,5,99,4.36,9,0
77,5,58,8.76,1,0
94,2,52,9.04,10,0
71,6,89,7.43,9,0
97,3,62,7.99,7,0
61,1,41,5.3,7,1
76,4,37,4.14,5,1
90,1,71,8.82,4,0
58,0,35,9.6,6,1
64,6,87,8.5,3,0
91,4,65,6.6,10,0
40,0,53,4.18,6,1
53,1,81,7.4,1,1
90,4,78,6.52,10,0
77,4,88,9.53,7,0
56,6,34,6.86,4,1
60,1,67,6.03,4,1
62,6,92,8.1,5,0
56,2,79,7.91,1,1
100,0,78,9.79,7,0
92,1,67,7.14,5,0
90,3,50,8.88,10,0
90,4,78,9.6,6,0
86,0,31,4.03,1,1
92,0,89,7.78,6,0
44,5,95,8.98,7,0
56,5,83,8.54,3,0
86,4,62,6.07,8,0
93,3,70,9.96,10,0
40,3,98,8.95,9,0
65,6,39,9.46,2,0
84,3,44,6.5,9,0
69,2,66,9.14,7,0
83,5,61,7.14,10,0
96,5,96,5.63,10,0
93,1,39,9.09,3,0
88,0,78,9.05,7,0
54,1,88,8.32,6,1
71,1,39,5.39,4,1
64,2,34,7.6,6,1
65,5,37,7.46,1,0
49,2,76,4.12,2,1
93,0,52,7.88,5,0
41,6,76,8.26,4,0
90,4,69,8.47,3,0
70,1,74,7.6,8,0
71,2,82,9.55,9,0
69,2,85,6.49,8,0
44,1,65,9.41,7,1
82,5,97,8.94,7,0
91,0,70,6.25,8,0
81,1,50,5.04,9,1
49,0,47,6.45,4,1
88,2,55,7.11,9,0
77,4,38,9.77,3,0
56,6,61,9.66,5,0
61,1,36,9.54,10,1
89,6,37,4.72,7,0
98,2,38,7.58,1,0
40,0,92,4.26,9,1
90,0,48,9.39,2,0
59,0,62,8.67,8,1
74,0,78,8.04,2,0
93,4,57,9.11,8,0
75,5,33,4.71,1,0
74,1,89,6.23,4,0
86,6,83,4.93,6,0
76,6,55,4.18,5,0
100,6,75,6.92,2,0
93,4,55,7.15,2,0
66,1,91,7.73,5,0
73,5,49,9.89,5,0
93,4,70,5.52,8,0
64,3,54,8.59,2,0
82,6,90,8.07,5,0
90,5,76,5.47,3,0
52,1,56,4.85,8,1
78,5,74,5.1,6,0
55,5,34,5.23,7,1
68,5,79,4.59,1,0
97,1,79,4.95,4,0
40,0,51,4.23,3,1
47,0,68,8.77,4,1
59,5,45,6.87,8,1
48,2,50,8.3,3,1
97,4,34,7.15,10,0
47,2,95,5.16,4,1
43,1,74,4.23,6,1
71,2,84,6.98,10,0
78,3,31,6.54,9,1
95,1,40,9.6,8,0
69,4,100,5.21,5,0
66,6,59,6.24,2,0
56,3,77,8.77,2,0
97,3,60,6.42,10,0
80,1,88,6.27,10,0
73,5,76,5.38,4,0
84,5,93,8.59,9,0
40,5,62,6.24,3,1
47,4,67,4.09,5,1
56,0,82,5.12,2,1
69,1,48,6.6,8,1
71,6,41,7.79,7,0
44,4,37,4.57,9,1
77,2,53,5.38,5,1
45,2,66,4.79,8,1
70,3,48,7.68,4,0
94,1,79,6.16,2,0
66,3,80,4.02,5,0
45,6,37,7.46,7,1
68,3,40,8.08,8,1
91,5,74,6.74,5,0
61,4,35,7.57,10,1
55,0,49,7.21,9,1
62,2,40,4.81,9,1
58,0,62,5.58,8,1
85,1,74,5.58,1,0
99,2,59,5.51,7,0
86,6,37,8.14,2,0
56,0,31,7.66,5,1
49,0,72,6.64,3,1
42,4,56,5.43,8,1
80,3,61,8.79,8,0
85,0,61,7.85,9,0
65,0,77,4.84,2,1
44,1,95,6.83,8,1
71,2,66,6.94,10,0
50,3,67,5.07,2,1
99,4,67,9.69,10,0
76,1,69,6.26,2,0
43,5,62,8.12,10,1
96,0,99,6.43,9,0
67,0,92,4.51,2,1
79,2,100,7.63,6,0
64,6,59,9.6,8,0
95,5,77,4.62,8,0
80,5,91,4.75,5,0
96,3,36,7.67,6,0
40,2,56,4.12,5,1
48,6,86,5.22,10,0
97,0,73,5.04,1,0
71,2,85,5.23,9,0
60,6,79,4.09,4,0
74,1,80,6.97,10,0
88,5,80,8.34,4,0
65,5,64,7.46,10,0
96,4,40,7.1,6,0
73,4,84,9.26,3,0
44,1,42,9.02,2,1
49,5,61,5.01,1,1
48,0,72,6.73,8,1
89,0,79,4.73,3,0
85,0,59,9.2,5,0
52,0,87,6.14,3,1
50,3,84,9.65,10,0
85,2,38,6.23,3,0
83,1,89,8.46,8,0
58,4,44,9.53,2,1
97,2,31,4.75,1,0
49,6,82,7.74,6,0
91,6,37,4.93,5,0
47,5,48,7.3,8,1
95,2,57,6.34,10,0
66,3,31,6.93,1,1
57,6,90,6.64,10,0
97,5,78,6.03,3,0
43,1,62,7.79,3,1
70,2,54,5.67,5,1
61,6,61,7.38,8,0
98,4,76,9.84,4,0
57,3,57,8.84,8,1
49,6,80,6.35,5,0
97,0,65,9.71,3,0
49,0,84,9.46,4,1
64,3,60,4.67,7,1
69,2,72,9.85,4,0
82,3,48,8.34,8,0
49,1,86,9.31,8,1
77,5,37,5.04,4,0
81,0,84,4.17,5,0
90,1,62,6.76,5,0
49,6,77,6.29,7,0
61,6,67,7.74,9,0
96,5,52,4.78,10,0
65,0,75,8.33,9,1
54,6,39,7.6,4,1
82,3,65,9.59,3,0
69,5,44,6.66,9,0
66,2,80,6.25,4,0
77,5,95,7.68,4,0
90,4,87,7.7,4,0
49,3,65,5.1,1,1
43,4,75,6.06,3,1
90,4,59,5.87,10,0
46,5,69,5.55,1,1
46,3,70,6.67,9,1
78,1,38,6.77,3,1
54,2,89,5.17,8,1
44,4,31,9.93,7,1
44,2,79,8.58,6,1
89,0,98,5.16,4,0
59,5,46,9.2,6,0
40,4,40,9.62,5,1
44,4,64,6.6,5,1
62,5,95,4.87,9,0
79,2,74,4.54,7,0
50,0,70,6.01,1,1
76,2,78,9.7,6,0
100,4,43,6.55,1,0
61,1,68,4.43,10,1
46,6,47,8.59,2,1
40,4,69,7.61,2,1
79,4,47,6.83,5,0
87,1,53,6.37,3,0
80,0,63,6.75,4,0
40,1,87,7.21,3,1
57,6,97,8.15,10,0
85,5,63,6.58,4,0
76,5,69,6.83,6,0
86,0,71,7.64,6,0
68,5,73,4.17,8,0
75,6,30,6.65,4,0
40,4,70,4.68,8,1
63,4,43,6.16,6,1
47,5,31,4.03,4,1
58,4,94,8.51,7,0
95,5,74,8.12,6,0
42,0,44,9.07,5,1
66,3,90,4.76,4,0
49,4,88,6.93,7,0
57,0,93,7.65,8,1
81,0,100,4.79,7,0
42,5,48,9.26,10,1
65,3,54,6.57,1,1
44,6,53,4.04,3,1
76,2,42,5.29,7,1
40,6,53,5.65,4,1
45,3,42,7.68,10,1
93,3,41,7.75,7,0
84,6,89,7.77,1,0
85,6,51,7.58,5,0
53,0,53,9.5,1,1
42,1,66,6.76,2,1
77,6,51,8.05,4,0
69,2,91,4.01,4,0
74,0,85,8.81,5,0
78,4,82,9.53,4,0
64,5,46,7.61,1,0
98,0,33,8.46,5,0
97,4,74,7.6,1,0
88,4,48,5.27,9,0
80,5,98,4.38,8,0
51,5,40,6.12,7,1
48,2,89,8.92,10,1
99,6,83,9.55,6,0
81,6,46,7.27,7,0
100,0,74,9.99,7,0
78,6,44,6.64,4,0
86,6,96,6.0,2,0
97,2,50,8.02,8,0
78,0,67,6.04,1,1
87,0,34,8.88,8,0
73,4,37,9.72,3,0
70,4,38,4.95,7,1
92,2,54,6.95,5,0
76,3,63,9.66,3,0
70,5,55,9.73,3,0
79,2,55,4.5,4,1
78,0,39,8.01,3,1
78,6,87,6.91,5,0
93,6,61,8.98,1,0
79,4,100,7.93,9,0
87,0,71,9.37,7,0
60,3,59,4.04,5,1
86,1,42,7.7,9,0
73,4,90,6.73,10,0
60,0,99,8.05,6,0
59,5,64,5.51,3,0
47,2,65,6.37,10,1
41,2,42,7.02,4,1
98,3,68,6.15,9,0
60,1,91,5.15,2,1
89,4,88,7.84,1,0
59,1,43,7.34,7,1
50,5,56,5.6,6,1
58,0,92,7.19,4,1
94,4,32,4.06,6,0
49,6,95,9.99,5,0
78,0,85,5.83,9,0
58,1,61,5.37,9,1
81,0,63,7.34,8,0
48,6,94,9.32,10,0
59,1,84,7.33,8,1
77,5,58,6.02,5,0
60,6,62,9.76,9,0
64,2,65,6.85,5,1
84,4,56,9.56,1,0
81,1,79,6.92,4,0
86,0,57,9.57,2,0
99,1,40,9.97,7,0
94,5,32,6.48,7,0
89,3,87,5.87,7,0
74,6,49,8.35,2,0
40,0,53,9.15,10,1
54,0,52,5.2,9,1
41,1,33,5.24,10,1
97,3,72,5.03,6,0
75,6,58,6.09,3,0
50,6,59,4.43,6,1
96,4,61,5.97,8,0
83,4,93,4.15,3,0
82,6,76,4.87,6,0
60,4,50,9.23,6,0
92,1,74,8.45,9,0
45,5,68,4.42,6,1
63,4,44,5.4,3,1
73,6,37,9.4,10,0
83,5,58,8.36,6,0
69,6,59,8.11,4,0
98,5,82,7.77,6,0
97,3,85,7.21,9,0
87,2,41,4.95,3,0
100,3,70,5.1,7,0
65,4,73,4.87,4,0
43,6,60,6.46,9,1
92,1,88,7.69,3,0
93,6,60,8.02,3,0
44,6,59,4.23,10,1
99,4,37,5.56,1,0
83,1,55,5.53,1,0
51,3,57,4.4,7,1
62,3,55,8.98,5,0
74,1,43,9.95,5,0
82,4,84,4.06,1,0
63,0,96,6.45,6,0
57,0,44,6.78,8,1
69,4,93,9.16,10,0
87,6,44,9.32,1,0
49,6,59,8.17,8,0
40,5,86,9.54,9,0
74,3,50,4.63,7,1
80,6,46,7.83,1,0
98,1,33,4.52,8,0
78,2,65,5.09,7,0
87,4,80,5.39,2,0
49,5,39,9.36,10,1
78,2,52,4.15,7,1
88,2,33,7.7,3,0
57,0,54,8.27,7,1
92,2,78,6.57,5,0
87,0,91,9.32,7,0
54,1,58,9.21,9,1
84,3,86,6.12,5,0
58,2,39,7.81,5,1
53,2,74,7.04,8,1
97,1,82,9.71,9,0
85,5,57,6.71,2,0
49,6,41,5.4,5,1
66,5,37,5.03,2,1
61,5,82,4.5,2,0
74,4,36,5.46,2,1
88,0,50,4.79,10,1
45,5,31,9.52,4,1
87,2,68,4.96,1,0
80,5,66,8.74,5,0
79,2,51,9.01,6,0
64,4,74,5.52,7,0
95,6,48,8.36,10,0
95,2,49,8.53,2,0
97,4,84,4.78,6,0
97,1,52,4.05,8,0
73,4,57,9.71,6,0
74,3,43,7.34,10,0
87,1,85,5.87,3,0
66,1,90,8.02,8,0
78,1,53,5.06,3,1
55,4,54,7.93,9,1
97,2,57,5.94,4,0
61,1,88,7.57,5,0
51,6,69,4.82,1,1
69,5,38,7.83,6,0
83,4,99,4.26,2,0
47,3,56,6.88,3,1
42,1,36,7.91,6,1
91,0,52,9.06,8,0
82,3,77,5.63,7,0
72,0,32,6.06,5,1
79,6,63,7.01,8,0
55,0,62,5.63,1,1
62,2,73,7.18,1,0
96,3,52,7.52,3,0
65,2,69,4.23,2,1
79,2,78,4.4,5,0
93,2,52,8.91,4,0
59,6,98,4.28,9,0
65,1,90,7.86,4,0
67,4,83,4.17,1,0
41,0,48,9.29,2,1
48,3,48,4.43,1,1
49,4,89,6.93,1,0
89,5,37,7.45,4,0
98,2,91,9.83,4,0
79,6,47,5.66,6,0
74,3,82,9.57,3,0
51,6,76,5.08,3,0
87,0,81,5.7,5,0
90,1,87,9.23,10,0
78,6,33,4.35,10,0
70,4,49,7.21,2,0
48,4,98,6.28,4,0
91,6,73,6.84,5,0
74,4,64,6.69,4,0
86,1,54,8.15,9,0
88,4,49,9.31,8,0
75,6,97,8.88,7,0
85,1,44,5.93,8,1
62,0,42,6.96,9,1
44,6,44,4.25,10,1
91,4,58,5.4,4,0
49,2,87,6.98,2,1
71,0,70,6.64,5,1
90,4,95,9.89,3,0
78,5,94,5.26,8,0
54,2,94,8.76,9,0
78,3,88,5.0,5,0
72,3,53,5.26,8,1
40,3,43,8.48,10,1
89,2,42,6.0,3,0
70,4,71,5.51,9,0
47,6,97,5.33,5,0
55,3,48,4.0,7,1
45,5,55,7.16,2,1
95,5,47,9.42,2,0
63,4,70,4.2,10,0
60,5,67,5.91,5,0
74,6,41,6.51,8,0
54,5,77,6.3,4,0
56,1,87,8.8,6,0
79,2,80,5.78,5,0
97,6,49,6.49,5,0
51,2,64,8.25,7,1
67,4,42,4.66,4,1
57,0,32,4.08,7,1
55,2,65,6.67,8,1
83,6,40,7.17,8,0
50,2,90,4.36,9,1
60,0,84,4.66,2,1
93,6,84,4.22,10,0
50,6,32,7.7,10,1
45,5,57,6.18,9,1
89,3,81,7.3,1,0
54,5,96,4.17,9,0
60,3,62,5.39,9,1
70,1,71,4.43,1,1
67,4,80,6.66,4,0
93,4,67,6.61,3,0
69,3,96,6.12,3,0
68,3,31,6.11,10,1
81,5,45,9.89,3,0
68,2,31,9.86,5,1
74,6,44,5.79,1,0
61,1,48,6.38,10,1
63,6,89,6.55,7,0
40,4,50,4.22,1,1
74,0,43,5.97,9,1
58,5,81,4.1,8,0
59,2,85,7.96,8,0
48,4,43,4.82,4,1
54,0,88,9.9,10,1
88,4,82,8.11,5,0
79,4,76,8.55,8,0
63,0,42,7.99,2,1
87,0,54,9.1,7,0
56,3,66,8.99,2,0
87,0,36,7.78,9,1
99,1,97,9.21,1,0
82,4,85,7.05,6,0
62,6,65,4.31,5,0
84,5,66,5.5,6,0
82,6,83,5.74,2,0
53,1,80,5.6,2,1
94,5,71,8.13,9,0
55,4,97,5.91,7,0
46,2,72,4.46,8,1
95,5,62,6.73,1,0
98,4,52,8.79,10,0
66,3,83,9.69,8,0
93,0,61,7.95,1,0
62,3,64,7.5,1,0
81,6,53,6.54,5,0
92,1,86,9.28,4,0
42,1,67,8.9,10,1
54,0,71,8.51,7,1
75,2,52,8.5,3,0
60,3,75,7.7,5,0
77,6,44,7.88,2,0
77,0,64,8.23,8,0
73,0,32,5.88,5,1
56,1,88,5.37,6,1
41,5,72,5.82,10,1
64,6,34,4.28,6,1
87,4,94,7.42,10,0
55,2,96,6.39,5,0
85,6,96,6.1,1,0
87,3,40,7.15,2,0
64,1,83,6.11,6,1
44,4,81,7.61,5,1
93,2,48,6.84,10,0
67,3,51,9.15,5,0
74,3,83,8.24,1,0
50,5,58,8.45,5,1
64,4,37,4.85,6,1
64,3,65,8.76,3,0
77,4,47,4.27,9,0
75,5,52,9.62,1,0
67,1,65,4.89,9,1
50,4,76,5.3,6,1
76,0,65,9.45,9,0
54,1,70,4.6,2,1
80,3,67,7.64,10,0
58,1,39,4.35,8,1
58,0,94,9.77,1,0
57,1,81,5.24,4,1
44,6,52,4.66,7,1
84,4,76,6.45,8,0
64,5,53,7.1,4,0
87,6,44,7.44,6,0
91,3,56,8.36,9,0
64,0,57,7.14,5,1
79,6,100,5.63,5,0
79,1,88,6.77,1,0
82,4,48,7.43,5,0
60,6,88,4.28,10,0
43,1,81,8.79,2,1
63,2,86,5.46,2,0
49,5,65,6.72,4,1
57,5,30,8.43,2,1
67,2,45,9.18,1,1
74,4,77,6.09,2,0
40,1,80,9.31,8,1
69,5,51,9.88,5,0
58,6,35,4.11,4,1
82,1,35,5.09,2,1
46,2,71,5.8,3,1
66,0,99,7.82,9,0
92,2,98,4.17,3,0
90,5,63,9.53,7,0
60,3,64,4.72,8,1
100,0,89,7.31,9,0
57,0,58,7.69,7,1
93,3,35,9.47,1,0
95,3,38,6.95,5,0
71,2,99,7.11,7,0
47,1,50,6.22,8,1
71,0,60,9.21,5,1
43,0,48,4.73,1,1
65,0,65,4.38,7,1
98,3,85,8.73,9,0
53,3,58,6.87,6,1
48,4,47,7.24,4,1
100,0,74,4.88,1,0
46,4,59,9.12,1,1
76,0,76,9.89,1,0
96,2,89,7.12,6,0
93,3,57,9.2,10,0
58,1,40,8.88,1,1
97,5,69,5.66,3,0
64,5,67,9.52,10,0
84,0,71,9.85,8,0
73,6,82,9.61,8,0
73,4,60,7.96,8,0
79,5,92,8.53,1,0
71,0,54,5.54,5,1
85,3,68,5.56,1,0
75,6,90,7.48,2,0
52,0,84,6.81,4,1
42,2,75,5.04,1,1
76,4,98,4.32,9,0
71,1,97,4.14,5,0
88,6,61,8.57,4,0
92,6,83,9.26,10,0
80,3,79,9.06,7,0
80,2,92,9.12,5,0
98,4,83,8.11,6,0
83,3,76,7.9,10,0
76,0,34,4.25,9,1
79,2,99,9.25,1,0
54,3,32,8.31,4,1
65,1,66,7.75,10,1
46,5,95,5.02,7,0
85,5,33,7.81,3,0
68,3,88,4.0,1,0
94,1,96,9.47,3,0
90,2,66,9.75,10,0
41,2,75,8.02,2,1
64,2,56,5.13,3,1
87,2,94,4.91,6,0
69,3,83,6.35,8,0
98,1,95,8.62,9,0
87,6,83,7.3,9,0
47,6,32,7.53,10,1
79,6,50,8.64,8,0
